,name,title,description,creator,youtube_url,template_url,date_posted
14,Multi-Agent Orchestrator,"Multi-Agent Systems Have NEVER Been EASIER to Build (n8n, no code)","In this detailed demonstration, Nate Herk shows how to build a multi-agent orchestrator system using n8n's visual drag-and-drop interface. The workflow breaks down a complex task into specialized sub-agents (email, contacts, calendar, content creation) that communicate via sub-workflows, enabling robust task delegation. Key components include integration with Gmail, Airtable, and model selection (GPT-4.1 mini, Flash), all configured in n8n to provide a reusable, modular AI automation system.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=0iUNOmeU7O4,https://drive.google.com/file/d/1fl1KfmH2DaQihE9-xTlQ52hoJ4CcPkzs/view?usp=drive_link,2025-06-10T17:59:27.000Z
15,Browser Agent,I Built the Ultimate Browser Agent with No Code (n8n + Airtop),"This system is a no-code browser agent that automates remote browser interactions using Airtop and OpenRouter. It leverages a workflow setup with tools to start browser sessions, load URLs, query DOM elements, perform click & type actions, and end sessions, mimicking human behavior. The agent can handle tasks such as scraping, interacting with authenticated websites, and executing dynamic searches. Created by Nate Herk, the setup includes a free JSON template available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ar37oypyATQ,https://drive.google.com/file/d/1tPjnN9OmaaFDN3NOn7jduYqqTOR83nEH/view?usp=drive_link,2025-06-08T23:19:09.000Z
19,SMS AI Agent,How to set-up and build an SMS Ai Agent (free template),"In this system, Rory Ridgers demonstrates a workflow that builds an SMS-based AI agent using n8n. The solution integrates Twilio for SMS messaging, setting up a webhook to trigger the flow, and uses Google Sheets for temporary message buffering and context accumulation. The workflow incorporates wait nodes, code blocks, and Gmail API nodes for sending and receiving emails. A free template is available to replicate this specific SMS AI agent system.",Rory Ridgers,https://www.youtube.com/watch?v=_igpx9vXYvA,https://drive.google.com/file/d/1_FgNxEA1lw6tNcMgK8y7BLNmrsgtlvbf/view?usp=drive_link,2025-06-05T11:01:06.000Z
20,SEO Audit Webapp,Build Web Apps with Firebase Studio + n8n In 30 Mins (Beginner’s Guide),"This system builds a SEO audit web application using Firebase Studio and a free workflow that leverages webhooks to trigger an Appify-powered audit. The setup incorporates HTTP request modules, chat agents for grouping and formatting data, and an aggregator to merge SEO metrics from multiple pages into a dynamic dashboard. Created by Jono Catliff, the blueprint is available free via the provided Gumroad link.",Jono Catliff,https://www.youtube.com/watch?v=MCRF1914Fxs,https://drive.google.com/file/d/1KpjLcnmTArk39AAkGDw25QWECoMHEWB9/view?usp=drive_link,2025-06-04T23:15:32.000Z
21,Web Scraper Agent,This AI Agent Can Scrape and Screenshot the Web with No Code (n8n tutorial),"In this tutorial, Nate Herk demonstrates a no-code n8n workflow that leverages Firecrawl’s powerful search API to perform precise web scraping and full-page screenshots. The system integrates advanced query operators, including site filtering and keyword exclusion, via HTTP request nodes, and supports multiple output formats such as markdown, HTML, JSON, and full-page screenshots. Detailed steps for setting up API authentication using bearer tokens are provided. A free JSON template for this n8n workflow is available through the free Skool community resource.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=3Pim6uCASSE,https://drive.google.com/file/d/1klYxj1CZI2sLFT_li6sUEJUESn4KIgSi/view?usp=drive_link,2025-06-03T13:30:22.000Z
22,YouTube Growth Automation,How I 14x’d My YouTube Channel in 7 Days (AI + n8n Workflow Breakdown),"This workflow system automates YouTube channel growth by researching trending videos, filtering by views and recency, and then generating improved video metadata. It combines a form trigger, HTTP requests to a YouTube scraper and transcript API, Google Sheets for data management, and OpenAI nodes for thumbnail analysis and title/outline generation. Built entirely in n8n, creator Nolan Harper shares his free template from the AI Automation Vault to help you replicate the success.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=t6iPH93krzY,https://drive.google.com/file/d/1aX49kZzkWZDXayl7uzMmtSfNNOw7J2fk/view?usp=drive_link,2025-05-30T14:38:24.000Z
23,Lead Qualifier System,This Ai Phone Agent qualifies leads on Autopilot (free template),"This workflow ingests new lead submissions via a web form and automates end-to-end qualification. The system scrapes the lead’s website, converts HTML to markdown, and uses the Tavly API to fetch LinkedIn data which is then summarized using an LLM. The consolidated lead details are stored in an AirTable CRM before a Vapi-powered AI phone agent calls the lead to qualify them and schedule meetings via Google Calendar. Created and demonstrated by Rory Ridgers, the free template is included.",Rory Ridgers,https://www.youtube.com/watch?v=oU8K3i5KqEc,https://drive.google.com/file/d/1KQpLyRi9HymVoAaI0Pu8beaUZymDybYk/view?usp=drive_link https://drive.google.com/file/d/1kDrPhkIet9UZHxxbDp5CskVcHKP1rJK4/view?usp=drive_link https://drive.google.com/file/d/1DIIb0jkXCJ3L1idDtRt4vfsAnFvv4leq/view?usp=drive_link,2025-05-30T11:01:32.000Z
24,Google Workspace Setup,"Set Up Google Credentials In n8n In 5 Mins (Gmail, Drive, Sheets & More)","This workflow demonstrates a comprehensive integration of Google Workspace services including Gmail, Drive, Sheets, Docs, Calendar, and Slides through an automation platform. The video meticulously covers configuration in the Google Cloud Console, API enablement, OAuth consent setup, and creation of web application credentials using redirect URIs. Led by Jono Catliff, it provides a free, step-by-step blueprint template for securely connecting and automating Google APIs.",Jono Catliff,https://www.youtube.com/watch?v=H1Kt1adcr84,https://drive.google.com/file/d/1KEGYRGnI2mNleanuyZqkNR5EFbAwo1fU/view?usp=drive_link,2025-05-27T19:22:10.000Z
27,AI Clone Avatar System,Create Your No Code AI Clone (HeyGen + n8n Full Guide),"This system automates AI clone video creation by integrating HeyGen's API in a no-code workflow. It uses HTTP request nodes for API authentication, dynamically pulls avatar and voice IDs, and implements polling loops with wait steps to check video status. The system processes scripted text inputs to trigger personalized video generation, ensuring error handling and smooth automation. Created by Nate Herk, it comes with a free template available via the community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=llm60n03x3c,https://drive.google.com/file/d/1Uu0LdyybOcLnDIT4hLG1HA-nVleaZkJf/view?usp=drive_link,2025-05-20T13:59:47.000Z
28,Meeting No-show Eliminator,Slash no-shows with this Ai Agent (free template),"In this video, Rory Ridgers presents a complete automated workflow system that tackles the problem of meeting no-shows. The system is built using n8n and integrates a cow.com trigger, web scraping with HTML-to-markdown conversion, an AI agent for summarizing website and LinkedIn data via Tavly, and CRM updates in Airtable. It also uses Twilio for SMS notifications, Gmail for approval-based emails, and Google Calendar for event management. The free template is available to jumpstart your setup.",Rory Ridgers,https://www.youtube.com/watch?v=1kZzPslvbXg,https://drive.google.com/file/d/1vriUXwdVDod16jFjefSJo3A61olAQpo-/view?usp=drive_link,2025-05-20T11:00:05.000Z
29,Viral Shorts Machine,I Built a 24/7 Viral Shorts Machine with No-Code (free n8n template),"This system is an automated content creation workflow that transforms a simple Google Sheet entry into high-quality viral social media shorts. It integrates multiple AI services including FAL’s Flux for image generation, Cling for video creation, ElevenLabs for audio synthesis, and Creatomate for stitching media together. Blotato is used for auto-posting to Instagram, TikTok, and YouTube. Built by Nate Herk, the workflow runs entirely on no-code principles and comes with a free template download via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=BcfjIBd49C8,https://drive.google.com/file/d/1-znRsMWmFUFbr1lFUjLGr42azzMlxPEz/view?usp=drive_link,2025-05-19T01:24:51.000Z
30,Voice AI Receptionist,This Vapi AI Voice Agent Automates Your Calls (steal this),"In this detailed workflow by Jono Catliff, a voice AI receptionist is built using Vapi and integrated with an n8n automation system. The system leverages Twilio for phone number management and real-time call handling, while also automating invoicing via Go High Level and managing appointment scheduling. The blueprint provides JSON-based parameter formatting and tool coordination, all available for free.",Jono Catliff,https://www.youtube.com/watch?v=XeyrdkFhh_U,https://drive.google.com/file/d/18zq0uteI3AbyhZuq7SuXbrWslGmnPAMu/view?usp=drive_link  https://drive.google.com/file/d/1X01k1Ct6l96z51A8bvJOv_ox4rgCZh3W/view?usp=drive_link ,2025-05-16T17:54:25.000Z
31,AI Copywriter Team,I Built a Team of AI Copywriters in n8n With No Code (Free Template),"This video demonstrates a sophisticated no-code automation system that creates a team of AI copywriters for generating cold emails, VSL scripts, sales letters, and more. The workflow uses n8n to trigger specialized AI agents via OpenAI nodes with detailed context instructions, JSON queries, and assistant setups, while routing outputs to Google Docs. Creator Nolan Harper explains each step and provides a free template via his AI Automation Vault.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=GoDmjHs7o-M,https://drive.google.com/file/d/1uEXNL2JtSe8iVkGhZ4tHWFZQUJ3IkfsV/view?usp=drive_link  https://drive.google.com/file/d/1TR72fSRmRKm9b710pKQ2tNC7EwA9K_Ac/view?usp=drive_link ,2025-05-16T16:06:38.000Z
32,Scraping Automation,The Simplest Way to Automate Scraping Anything with No Code (Apify + n8n tutorial),"This system is a no-code data scraping workflow that links Apify's pre-built actors with an n8n automation setup. In the tutorial, Nate Herk demonstrates how to trigger an Apify actor via HTTP endpoints, incorporate a wait step to ensure complete data retrieval, and use polling techniques to systematically capture results such as TikTok video data and Google Maps leads. The walkthrough details API integration and asynchronous processing, and it comes with a free template available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=gZ_RLC25gCw,https://drive.google.com/file/d/14es-gxH7oZykRPnrgbdEeIK-ECCcY5Xa/view?usp=drive_link,2025-05-16T15:23:10.000Z
33,Viral LinkedIn Posts,I Built an AI SYSTEM For Viral LinkedIn Posts (n8n),"This system automates the creation and publishing of viral social media posts on LinkedIn (with extensions for Instagram and Twitter) using an AI workflow. It integrates web research via Perplexity AI, quality text generation via Anthropic, and image creation with OpenAI Image API while ensuring visual consistency through reference images stored in Google Drive. Google Sheets hold the database of post ideas and statuses, while scheduled triggers auto-publish posts via LinkedIn nodes. Created by Oleg Melnikov, the system is demonstrated in a comprehensive, beginner-friendly tutorial and includes a free template for easy setup.",Oleg Melnikov,https://www.youtube.com/watch?v=YpXzTSZ6csw,https://drive.google.com/file/d/1rWO0ZJ76Sa2hmrXQVQY58n4IaM0e884f/view?usp=drive_link,2025-05-16T13:17:35.000Z
34,Chat File Agent,NEW AI Agent - Chat with YOUR files from Supabase and Google Drive,"This n8n workflow demonstrates an AI agent that interacts with files stored in Google Drive and Supabase. It details the process of uploading files, setting up Supabase tables via SQL, parsing content with YamaParse, and storing vectorized data for subsequent AI querying using OpenAI. The system includes duplicate checks, file updates, and webhooks to trigger the AI agent, all built by Mark and Philipp of 5minAI.",5minAI,https://www.youtube.com/watch?v=NB6LhvObiL4,https://drive.google.com/file/d/1Wd0kKcOyL84zjePOUnkJAKZVt5rlQ4pR/view?usp=drive_link,2025-05-15T16:16:03.000Z
35,Website Data Scraper,Scrape ANY Website Automatically with n8n + Apify (Full System Breakdown),"This system automates the extraction of business data from websites such as Google Maps using a no-code workflow that integrates Apify with an automation platform. It demonstrates the use of HTTP requests, dynamic JSON configurations, filters, loops, and array aggregators to scrape, filter, and aggregate data like phone numbers and emails. The workflow also pipes data into Google Sheets for further use, such as in cold email outreach. Created by Jono Catliff, the free blueprint is available for immediate download.",Jono Catliff,https://www.youtube.com/watch?v=PxQwzoPmP3M,https://drive.google.com/file/d/1KUXLIeeWbxR41E43sGWQFwb_w0aLmulE/view?usp=drive_link,2025-05-15T01:17:07.000Z
36,Multi-Agent Research,This Multi-Agent system can research ANYTHING (free n8n template),"Rory Ridgers presents a sophisticated multi-agent research system built with a workflow platform. This system delegates tasks across specialized AI agents powered by GPT-4 mini and integrated memory nodes. It handles market, company, and social media research by leveraging HTTP requests, Tavly API for advanced searches, and dedicated workflows for scraping and data conversion. The solution also uses Appify for LinkedIn and Instagram profile data extraction. Free templates are provided to get started immediately.",Rory Ridgers,https://www.youtube.com/watch?v=ciogxooQelQ,https://drive.google.com/file/d/19csBF7f40IvE-Q0KQSqCul2JjgHLoZ9H/view?usp=drive_link  https://drive.google.com/file/d/1xD6RrWEkAynJo3Ci9UpLocep7o4hMtGl/view?usp=drive_link  https://drive.google.com/file/d/1CmJykI1mb04Mk33-bS0aPWleIUOZo49G/view?usp=drive_link  https://drive.google.com/file/d/1VFzm_9-xTxNnzlptbosBKSJ4fLbrGoaW/view?usp=drive_link  https://drive.google.com/file/d/14p9y2B0KnOFJqnMWdkFmzZEJFZc2hWdk/view?usp=drive_link  https://drive.google.com/file/d/1PN61vp11bwnwVetjn7W1jiAeJyCvtHUw/view?usp=drive_link  https://drive.google.com/file/d/1FLTlUWdrBHZT397R_627Tmz9zfzPfaK3/view?usp=drive_link  https://drive.google.com/file/d/1cCXjoIt3Q3HNhJBYhblMihm1_JYDaXEL/view?usp=drive_link,2025-05-12T11:01:00.000Z
39,API Agents Workflow,APIs for AI Agents: The Only Beginner’s Guide You’ll Ever Need (n8n),"In this video, Nate Herk demonstrates how to build an AI agent workflow inside a no-code automation platform by integrating external APIs via HTTP requests. The tutorial explains in detail how to set up native integrations and manually configure HTTP requests using curl commands, JSON body parameters, and header authentication. It covers integration with services like Open Weather Map, Perplexity, and Tavi, clarifying error responses and best practices. Free resources for setting up this system are provided via his free community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=qZkX_gIlwsY,https://drive.google.com/file/d/1hXgATSqAxf_J62Qgm0XdkgQAm_jeE_R6/view?usp=drive_link,2025-05-10T14:12:06.000Z
40,24/7 AI Sales Assistant,I Built a 24/7 AI Sales Assistant (Free Download Inside),"This comprehensive workflow by Nolan Harper uses n8n to deliver a 24/7 AI sales assistant tailored for automating lead capture and personalized follow-up. The system integrates Google Sheets for CRM data management, HTTP nodes to invoke the Tavi API for real-time company research, and advanced AI agents (using GPT-4) to generate custom email subjects, persuasive email bodies, and SMS messages. It also leverages testimonial data and filtering techniques for optimal sales engagement. A free template is available via the AI Automation Vault.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=1XPu71Hw_ck,https://drive.google.com/file/d/1S9X2BA_VdqYU8WuCV_ScQTlL-7HVLUXm/view?usp=drive_link,2025-05-09T20:58:42.000Z
41,Human-In-The-Loop Automation,The Secret to Making AI Agents 100% Reliable - Human in the Loop (n8n),"This system automates a human-in-the-loop workflow for approving AI-generated social media content using a no-code environment. It integrates Telegram as the communication channel, utilizes a content creation agent powered by GPT-4.1 along with Tavly search for real-time research, and employs dynamic set nodes for iterative revisions. Built by Nate Herk, the system supports both yes/no approvals and free-text feedback for revisions. A free template to replicate this workflow is available in his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=CdnR-fNVPKI,https://drive.google.com/file/d/1f5W6h6lIphgulyZwwcuhKqSQzFCtE0P8/view?usp=drive_link,2025-05-08T23:59:04.000Z
43,LinkedIn Lead Automation,Hijack Viral LinkedIn Posts (No Cold DMs),"This system automates LinkedIn lead generation using a no‑code workflow that scrapes comments from viral posts and enriches contact data in Airtable. It incorporates API scrapers to fetch post details and profile information, applies LLM-based qualification for lead intent, and generates personalized DMs. Built entirely in an n8n framework by MagicOps AI, the system streamlines high intent lead capture, ensuring efficient and tailored outreach.",MagicOps AI,https://www.youtube.com/watch?v=JftnNwvagKA,https://drive.google.com/file/d/1eg3xhPiyj_95ipMDgf4om9T-HWMysO18/view?usp=drive_link,2025-05-06T13:15:03.000Z
44,AI Content Idea Generator,"1,200+ Content Ideas Per Day with AI (Free Template)","This workflow automates content ideation by scraping YouTube comments via an HTTP request to an Appify actor, then processing them with AI nodes using OpenAI models. It filters and extracts comments containing content ideas, performs real-time research via a Tavi integration, and finally updates the results in Google Sheets. Built entirely in n8n with robust JSON data handling and API integrations, this free template is created by Nolan Harper.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=Xno2IGHfSDo,https://drive.google.com/file/d/1bLDkLPbiK11yjYvcUWxLTVGZZyiHg2gM/view?usp=drive_link,2025-05-05T16:00:59.000Z
45,Deep Cold Email Outreach,I Deep-Personalized 1000+ Cold Emails Using THIS AI System (FREE TEMPLATE),"In this video, Nick Saraev demonstrates a comprehensive workflow that automates the personalization and sending of 1000+ cold emails using a free AI system built in n8n. The setup integrates tools like Apollo for lead data, Apify for scraping, Instantly for email delivery, and Google Sheets for data management. It employs HTTP requests, HTML extraction, markdown conversion, and OpenAI’s GPT-4.1 to generate highly tailored icebreakers, making it an end-to-end, robust cold email automation system.",Nick Saraev,https://www.youtube.com/watch?v=oAWe5wFwHlo,https://drive.google.com/file/d/1mEJe6n3ohryVRm58sCBqfO5kyh-r49fb/view?usp=drive_link,2025-05-05T07:11:46.000Z
46,Marketing Automation Agent,This marketing agent automates EVERYTHING (free n8n template),"Rory Ridgers presents a free template for a marketing automation AI agent built in n8n. This workflow scrapes Google via Tavi and Instagram via Ampify to gather current social media and news data. Multiple LLM agents are used to summarize content, plan blog posts and social media updates, generate images through a GPT image generation API, and update results to Google Sheets and Google Drive. The system also includes integration with a custom web hook interface via Commonous Agents.",Rory Ridgers,https://www.youtube.com/watch?v=7TUPVDIcD3k,https://drive.google.com/file/d/1pLK1tuB8EOPLEeGIshFrlXGJFffduwVx/view?usp=drive_link,2025-05-04T20:36:54.000Z
47,Agent Tracking System,How I Auto Track AI Agent Actions and Token Usage (n8n tutorial),"This system provides a comprehensive workflow to track AI agent actions and token usage within an n8n setup. The tutorial details how to log initial inputs, intermediate steps, API calls, tool integrations (such as sending emails, retrieving contacts), and error handling into a Google Sheet using JavaScript nodes. Creator Nate Herk explains both the success and error branches, detailing cost calculations and observability, and offers a free downloadable JSON template via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=vVdS-ZEFf50,https://drive.google.com/file/d/10WibhA7rvZoFvyS3ywOK9xy9dRJvXK_p/view?usp=drive_link,2025-05-03T18:51:28.000Z
48,Carousel & Slides Automation,This n8n AI Agent will AUTOMATE your Carousels and Slideshows 🍄,"This system automates the creation and posting of carousels and slideshows for various social media platforms. It uses a fully configured workflow in n8n, featuring an AI agent powered by ChatGPT for generating quotes and image prompts, and integrates with the Blotato API to generate and publish content. The automation supports scheduling, structured output parsing, and multi-platform publishing including Instagram, TikTok, Twitter, and more. Creator Sabrina Ramonov offers a free template for direct import.",Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=Ev3xBsldyBk,https://drive.google.com/file/d/1ScC7DzKkVN8nLUzBuf7gNedagumbCXne/view?usp=drive_link,2025-05-03T18:10:35.000Z
49,Proposal Generator,My $27K/m Ai Proposal System in n8n (Free Template),"In this video, Nolan Harper demonstrates a comprehensive AI-driven proposal generator system. The workflow automates the creation of personalized sales proposals by using form triggers (via JotForm), Google Drive for template management and file conversion, and OpenAI for transcribing sales call recordings and generating dynamic content. The system integrates multiple nodes in n8n to seamlessly pull data, update documents, and send PDF proposals, all available with a free template.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=FTaTMj0u0II,https://drive.google.com/file/d/1RFt5KLTFdzjIuhCWJ3SsxVMFNYK2Voi5/view?usp=drive_link,2025-05-02T17:25:04.000Z
50,Google Map Scraper,Scrape Unlimited Leads WITHOUT Paying for APIs (99% FREE),"This system scrapes email leads from Google Maps using a free n8n workflow. It leverages HTTP request nodes for fetching Google Maps search results, custom JavaScript with regex (reax) for parsing URLs and emails, and filtering nodes to remove unwanted domains and duplicates. The workflow also integrates loop and wait nodes to manage rate limits and extracts data from Google Sheets. Built by Nick Saraev, it provides a comprehensive, automated lead scraping solution.",Nick Saraev,https://www.youtube.com/watch?v=OroDNJl-pyc,https://drive.google.com/file/d/1Kxsl2-sbZGKPqY_X2nluN6aujuTqbcux/view?usp=drive_link,2025-05-01T03:13:25.000Z
51,Dynamic AI Agent Workflow,"This AI Agent Picks Its Own Brain (10x Cheaper, n8n)","Created by Nate Herk, this no-code system uses a Slack trigger to dynamically select the best large language model based on user input. The workflow routes tasks to free or cost-effective models (e.g., Gemini 2.0 Flash, GPT 4.1 Mini, Claude 3.7 Sonnet) via OpenRouter. It integrates logging with Google Sheets and employs Superbase for RAG-based document querying, optimizing performance and cost. Free template resources are available through the Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=gwCQF--cARA,https://drive.google.com/file/d/1bI39O_RM8Kq7F0zfWALQdW6DjITh6m3w/view?usp=drive_link,2025-04-30T18:54:47.000Z
52,LeadGen Outreach,Automate Lead Generation and Email Personalization in Minutes with n8n! (Free Template),"This workflow automates lead generation and personalized email outreach in a two-step process. It sources leads from Apollo via an HTTP actor (using Epifi) and filters, deduplicates, and maps data into Google Sheets before passing it to an AI agent powered by OpenAI for personalized email drafting. A schedule trigger controls email dispatch limits. Created by Mahmut Kasimoglu | AI Automation, the free template is available via his Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=ZD2DlnuqCrA,https://drive.google.com/file/d/1ENxEyIhlHwtUCq5zyrCw6lDTFjksFlcz/view?usp=drive_link,2025-04-28T19:48:04.000Z
53,Product Videography,How I Automated Product Videography with AI (Step by Step n8n Tutorial),"This workflow automates product videography by capturing a product photo, title, description and email via a form trigger. The system uploads the image to Google Drive, then uses an AI agent (via OpenRouter with GPT-4.1) to generate a text image prompt. It processes the image with OpenAI's image edit API, converts the result and hosts it on ImageBB, and finally, uses the Runway API to generate a 10-second video before sending the outputs via Gmail. Created and demonstrated by Nate Herk, free template resources are available in his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=qV7xOEKEBDA,https://drive.google.com/file/d/1jtRDbCceuf1h6J52kU7lZJS8q1LKHusP/view?usp=drive_link,2025-04-28T18:56:18.000Z
