name,title,creator,youtube_url,template_url,date_posted
Local AI Agent Workflow,The Ultimate Guide to Local AI and AI Agents (The Future is Here),Cole Medin,https://www.youtube.com/watch?v=mNcXue7X8H0,https://drive.google.com/file/d/1amYKoQv0mqN_Jhe9bxEhqJSiU7A_Vw7J/view?usp=drive_link  https://drive.google.com/file/d/1iKSmt_tyavpEvit0fIQQQ2V_RLvmZWPg/view?usp=drive_link  https://drive.google.com/file/d/1Q95VtcuCRdOfsLmvpoXvlNo-PKj39oAR/view?usp=drive_link  https://drive.google.com/file/d/1d2bixc0qdq97bj3vFsKSXj7dlYFI_ArE/view?usp=drive_link  https://drive.google.com/file/d/1O-N2NridLujr_PH0tWlYyLaAIbTsERj7/view?usp=drive_link  https://drive.google.com/file/d/14aBnJ_yZWlzU25dC1VpnWR23DLNr1g8A/view?usp=drive_link  https://drive.google.com/file/d/1XypTaRApkT1FMLQqH9vXsz5j-9wkw-Fg/view?usp=drive_link  https://drive.google.com/file/d/1AGAIa55ot77KF_5Z3hMY5By4ziSKrQGG/view?usp=drive_link  https://drive.google.com/file/d/1JJ78kPhPJ_tP8zqChWHEnhq13K65nhwc/view?usp=drive_link  https://drive.google.com/file/d/1Xu9Egek6OYsIOcONMipJDhIZOKpkyqF5/view?usp=drive_link  https://drive.google.com/file/d/1UV5KPK-3N9eHEyROEBujeYd76imhkz-0/view?usp=drive_link  https://drive.google.com/file/d/1C9kQNI7dzyAFAe22uggted99xnNbb-0k/view?usp=drive_link  https://drive.google.com/file/d/14QMXz8WS3y_pvEC2h_iBiAL_HP_J7aV1/view?usp=drive_link  https://drive.google.com/file/d/1J3XIipadoaP26R75CJThe_TGVmmznwro/view?usp=drive_link https://drive.google.com/file/d/1EnYajiXsJqLj7Z5mrGH5gLgyEiH2wRma/view?usp=drive_link https://drive.google.com/file/d/15e7FTAwSaE4gQug90E2upjDv2enDI1Os/view?usp=drive_link https://drive.google.com/file/d/1Se-uu6ah8Xa5S9WOWem0ReenczBie54x/view?usp=drive_link https://drive.google.com/file/d/1ZzWw-472tlQjjaMYFVcVq0FGlJAfkK_8/view?usp=drive_link https://drive.google.com/file/d/1FPzQIUIPmDtzxAc4KYSQ4eGfDYqvX_rI/view?usp=drive_link https://drive.google.com/file/d/1xbH16wLu3vE83wKbIqkMpn6-2VaJrmzv/view?usp=drive_link https://drive.google.com/file/d/1-bnYywrZX40Axq5riiT90AvEquGzXJT0/view?usp=drive_link https://drive.google.com/file/d/1D1ZY7PkcLM85k67wYWMpYv_ONao-PW8z/view?usp=drive_link,2025-06-12T00:43:54.000Z
Multi-Agent Orchestrator,"Multi-Agent Systems Have NEVER Been EASIER to Build (n8n, no code)",Nate Herk | AI Automation,https://www.youtube.com/watch?v=0iUNOmeU7O4,https://drive.google.com/file/d/1fl1KfmH2DaQihE9-xTlQ52hoJ4CcPkzs/view?usp=drive_link,2025-06-10T17:59:27.000Z
Browser Agent,I Built the Ultimate Browser Agent with No Code (n8n + Airtop),Nate Herk | AI Automation,https://www.youtube.com/watch?v=ar37oypyATQ,https://drive.google.com/file/d/1tPjnN9OmaaFDN3NOn7jduYqqTOR83nEH/view?usp=drive_link,2025-06-08T23:19:09.000Z
ChatGPT Image Workflow,Connect ChatGPTs New Image Model to n8n (Step-By-Step),Jono Catliff,https://www.youtube.com/watch?v=nGNm4IBZpGg,https://drive.google.com/file/d/1jd3WdfHF1S7d5X53Iwru_T7wFzmrcXtk/view?usp=drive_link,2025-06-07T19:21:36.000Z
Real-Time Insights System,This AI Agent INSTANTLY Pulls Real-Time Insights from X (Bolt + n8n Setup),Mark Kashef,https://www.youtube.com/watch?v=7NIN0KNcVdM,https://drive.google.com/file/d/1PpM0qBBIAMXdWg1-dZbzMzHa2tehbUgw/view?usp=drive_link,2025-06-06T18:00:07.000Z
Prompt Accuracy Flow,Stop Hallucinations: Perfect Your n8n Prompts for Consistent Output,MagicOps AI,https://www.youtube.com/watch?v=1uDXVb7zp0Q,https://drive.google.com/file/d/172WmX3aishmCiM_c_vx0PfGBzH9Z48Vh/view?usp=drive_link,2025-06-05T13:00:03.000Z
SMS AI Agent,How to set-up and build an SMS Ai Agent (free template),Rory Ridgers,https://www.youtube.com/watch?v=_igpx9vXYvA,https://drive.google.com/file/d/1_FgNxEA1lw6tNcMgK8y7BLNmrsgtlvbf/view?usp=drive_link,2025-06-05T11:01:06.000Z
SEO Audit Webapp,Build Web Apps with Firebase Studio + n8n In 30 Mins (Beginner’s Guide),Jono Catliff,https://www.youtube.com/watch?v=MCRF1914Fxs,https://drive.google.com/file/d/1KpjLcnmTArk39AAkGDw25QWECoMHEWB9/view?usp=drive_link,2025-06-04T23:15:32.000Z
Web Scraper Agent,This AI Agent Can Scrape and Screenshot the Web with No Code (n8n tutorial),Nate Herk | AI Automation,https://www.youtube.com/watch?v=3Pim6uCASSE,https://drive.google.com/file/d/1klYxj1CZI2sLFT_li6sUEJUESn4KIgSi/view?usp=drive_link,2025-06-03T13:30:22.000Z
YouTube Growth Automation,How I 14x’d My YouTube Channel in 7 Days (AI + n8n Workflow Breakdown),Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=t6iPH93krzY,https://drive.google.com/file/d/1aX49kZzkWZDXayl7uzMmtSfNNOw7J2fk/view?usp=drive_link,2025-05-30T14:38:24.000Z
Lead Qualifier System,This Ai Phone Agent qualifies leads on Autopilot (free template),Rory Ridgers,https://www.youtube.com/watch?v=oU8K3i5KqEc,https://drive.google.com/file/d/1KQpLyRi9HymVoAaI0Pu8beaUZymDybYk/view?usp=drive_link https://drive.google.com/file/d/1kDrPhkIet9UZHxxbDp5CskVcHKP1rJK4/view?usp=drive_link https://drive.google.com/file/d/1DIIb0jkXCJ3L1idDtRt4vfsAnFvv4leq/view?usp=drive_link,2025-05-30T11:01:32.000Z
Google Workspace Setup,"Set Up Google Credentials In n8n In 5 Mins (Gmail, Drive, Sheets & More)",Jono Catliff,https://www.youtube.com/watch?v=H1Kt1adcr84,https://drive.google.com/file/d/1KEGYRGnI2mNleanuyZqkNR5EFbAwo1fU/view?usp=drive_link,2025-05-27T19:22:10.000Z
Viral Baby Videos,I Built an AI SYSTEM For Viral Baby Videos (n8n),Oleg Melnikov,https://www.youtube.com/watch?v=Q7pJcZAPuGc,https://drive.google.com/file/d/1WVWf24E8ZLLMYWJ1BPqRQarLC1htfQS7/view?usp=drive_link,2025-05-27T18:36:55.000Z
Faceless Video Maker,Create Faceless YouTube Videos on Autopilot with AI + n8n (steal this),Jono Catliff,https://www.youtube.com/watch?v=MjZSsasHSq8,https://drive.google.com/file/d/1_rNeNA-OiXTdB_VoK5LYoWRN05FOwdf1/view?usp=drive_link,2025-05-22T18:41:30.000Z
AI Clone Avatar System,Create Your No Code AI Clone (HeyGen + n8n Full Guide),Nate Herk | AI Automation,https://www.youtube.com/watch?v=llm60n03x3c,https://drive.google.com/file/d/1Uu0LdyybOcLnDIT4hLG1HA-nVleaZkJf/view?usp=drive_link,2025-05-20T13:59:47.000Z
Meeting No-show Eliminator,Slash no-shows with this Ai Agent (free template),Rory Ridgers,https://www.youtube.com/watch?v=1kZzPslvbXg,https://drive.google.com/file/d/1vriUXwdVDod16jFjefSJo3A61olAQpo-/view?usp=drive_link,2025-05-20T11:00:05.000Z
Viral Shorts Machine,I Built a 24/7 Viral Shorts Machine with No-Code (free n8n template),Nate Herk | AI Automation,https://www.youtube.com/watch?v=BcfjIBd49C8,https://drive.google.com/file/d/1-znRsMWmFUFbr1lFUjLGr42azzMlxPEz/view?usp=drive_link,2025-05-19T01:24:51.000Z
Voice AI Receptionist,This Vapi AI Voice Agent Automates Your Calls (steal this),Jono Catliff,https://www.youtube.com/watch?v=XeyrdkFhh_U,https://drive.google.com/file/d/18zq0uteI3AbyhZuq7SuXbrWslGmnPAMu/view?usp=drive_link  https://drive.google.com/file/d/1X01k1Ct6l96z51A8bvJOv_ox4rgCZh3W/view?usp=drive_link ,2025-05-16T17:54:25.000Z
AI Copywriter Team,I Built a Team of AI Copywriters in n8n With No Code (Free Template),Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=GoDmjHs7o-M,https://drive.google.com/file/d/1uEXNL2JtSe8iVkGhZ4tHWFZQUJ3IkfsV/view?usp=drive_link  https://drive.google.com/file/d/1TR72fSRmRKm9b710pKQ2tNC7EwA9K_Ac/view?usp=drive_link ,2025-05-16T16:06:38.000Z
Scraping Automation,The Simplest Way to Automate Scraping Anything with No Code (Apify + n8n tutorial),Nate Herk | AI Automation,https://www.youtube.com/watch?v=gZ_RLC25gCw,https://drive.google.com/file/d/14es-gxH7oZykRPnrgbdEeIK-ECCcY5Xa/view?usp=drive_link,2025-05-16T15:23:10.000Z
Viral LinkedIn Posts,I Built an AI SYSTEM For Viral LinkedIn Posts (n8n),Oleg Melnikov,https://www.youtube.com/watch?v=YpXzTSZ6csw,https://drive.google.com/file/d/1rWO0ZJ76Sa2hmrXQVQY58n4IaM0e884f/view?usp=drive_link,2025-05-16T13:17:35.000Z
Chat File Agent,NEW AI Agent - Chat with YOUR files from Supabase and Google Drive,5minAI,https://www.youtube.com/watch?v=NB6LhvObiL4,https://drive.google.com/file/d/1Wd0kKcOyL84zjePOUnkJAKZVt5rlQ4pR/view?usp=drive_link,2025-05-15T16:16:03.000Z
Website Data Scraper,Scrape ANY Website Automatically with n8n + Apify (Full System Breakdown),Jono Catliff,https://www.youtube.com/watch?v=PxQwzoPmP3M,https://drive.google.com/file/d/1KUXLIeeWbxR41E43sGWQFwb_w0aLmulE/view?usp=drive_link,2025-05-15T01:17:07.000Z
Multi-Agent Research,This Multi-Agent system can research ANYTHING (free n8n template),Rory Ridgers,https://www.youtube.com/watch?v=ciogxooQelQ,https://drive.google.com/file/d/19csBF7f40IvE-Q0KQSqCul2JjgHLoZ9H/view?usp=drive_link  https://drive.google.com/file/d/1xD6RrWEkAynJo3Ci9UpLocep7o4hMtGl/view?usp=drive_link  https://drive.google.com/file/d/1CmJykI1mb04Mk33-bS0aPWleIUOZo49G/view?usp=drive_link  https://drive.google.com/file/d/1VFzm_9-xTxNnzlptbosBKSJ4fLbrGoaW/view?usp=drive_link  https://drive.google.com/file/d/14p9y2B0KnOFJqnMWdkFmzZEJFZc2hWdk/view?usp=drive_link  https://drive.google.com/file/d/1PN61vp11bwnwVetjn7W1jiAeJyCvtHUw/view?usp=drive_link  https://drive.google.com/file/d/1FLTlUWdrBHZT397R_627Tmz9zfzPfaK3/view?usp=drive_link  https://drive.google.com/file/d/1cCXjoIt3Q3HNhJBYhblMihm1_JYDaXEL/view?usp=drive_link,2025-05-12T11:01:00.000Z
AI Agent Blueprint,Give Me 28 Minutes and I'll Completely Change the Way You Build AI Agents,Cole Medin,https://www.youtube.com/watch?v=TV8SyEuSMIA,https://drive.google.com/file/d/1fzLIcpW45xlkY6zVpDcs4Qk8wGPEWGF0/view?usp=drive_link  https://drive.google.com/file/d/1op5NDt8lE19Y_q1I_8226a72EkPwgBuN/view?usp=drive_link ,2025-05-12T00:00:33.000Z
Faceless Shorts Workflow,This AI System Creates & Posts Faceless Shorts 24/7 (free n8n template),Nate Herk | AI Automation,https://www.youtube.com/watch?v=jkEEVYFzT1U,https://drive.google.com/file/d/1XwPsOnmdx-ZJ1whhRBrCzuPIx2KwOIjK/view?usp=drive_link,2025-05-11T14:30:19.000Z
API Agents Workflow,APIs for AI Agents: The Only Beginner’s Guide You’ll Ever Need (n8n),Nate Herk | AI Automation,https://www.youtube.com/watch?v=qZkX_gIlwsY,https://drive.google.com/file/d/1hXgATSqAxf_J62Qgm0XdkgQAm_jeE_R6/view?usp=drive_link,2025-05-10T14:12:06.000Z
24/7 AI Sales Assistant,I Built a 24/7 AI Sales Assistant (Free Download Inside),Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=1XPu71Hw_ck,https://drive.google.com/file/d/1S9X2BA_VdqYU8WuCV_ScQTlL-7HVLUXm/view?usp=drive_link,2025-05-09T20:58:42.000Z
Human-In-The-Loop Automation,The Secret to Making AI Agents 100% Reliable - Human in the Loop (n8n),Nate Herk | AI Automation,https://www.youtube.com/watch?v=CdnR-fNVPKI,https://drive.google.com/file/d/1f5W6h6lIphgulyZwwcuhKqSQzFCtE0P8/view?usp=drive_link,2025-05-08T23:59:04.000Z
Contextual RAG,The EASIEST Possible Strategy for Accurate RAG (Step by Step Guide),Cole Medin,https://www.youtube.com/watch?v=z_LGan-t2Mo,https://drive.google.com/file/d/1Reoo3rAtAujEFVusHNbReSVE67CZuoFq/view?usp=drive_link  https://drive.google.com/file/d/1nGKHGNI94SkBdY5iS0zI4V1WfYAqfpRK/view?usp=drive_link  https://drive.google.com/file/d/1oy8QHnbYx8IkBXuyf1F3LvmYlREm_yYA/view?usp=drive_link  https://drive.google.com/file/d/1yebfm_KFgJnCctuT4hyq3G4EZ_qXFQkq/view?usp=drive_link ,2025-05-08T00:00:55.000Z
LinkedIn Lead Automation,Hijack Viral LinkedIn Posts (No Cold DMs),MagicOps AI,https://www.youtube.com/watch?v=JftnNwvagKA,https://drive.google.com/file/d/1eg3xhPiyj_95ipMDgf4om9T-HWMysO18/view?usp=drive_link,2025-05-06T13:15:03.000Z
AI Content Idea Generator,"1,200+ Content Ideas Per Day with AI (Free Template)",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=Xno2IGHfSDo,https://drive.google.com/file/d/1bLDkLPbiK11yjYvcUWxLTVGZZyiHg2gM/view?usp=drive_link,2025-05-05T16:00:59.000Z
Deep Cold Email Outreach,I Deep-Personalized 1000+ Cold Emails Using THIS AI System (FREE TEMPLATE),Nick Saraev,https://www.youtube.com/watch?v=oAWe5wFwHlo,https://drive.google.com/file/d/1mEJe6n3ohryVRm58sCBqfO5kyh-r49fb/view?usp=drive_link,2025-05-05T07:11:46.000Z
Marketing Automation Agent,This marketing agent automates EVERYTHING (free n8n template),Rory Ridgers,https://www.youtube.com/watch?v=7TUPVDIcD3k,https://drive.google.com/file/d/1pLK1tuB8EOPLEeGIshFrlXGJFffduwVx/view?usp=drive_link,2025-05-04T20:36:54.000Z
Agent Tracking System,How I Auto Track AI Agent Actions and Token Usage (n8n tutorial),Nate Herk | AI Automation,https://www.youtube.com/watch?v=vVdS-ZEFf50,https://drive.google.com/file/d/10WibhA7rvZoFvyS3ywOK9xy9dRJvXK_p/view?usp=drive_link,2025-05-03T18:51:28.000Z
Carousel & Slides Automation,This n8n AI Agent will AUTOMATE your Carousels and Slideshows 🍄,Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=Ev3xBsldyBk,https://drive.google.com/file/d/1ScC7DzKkVN8nLUzBuf7gNedagumbCXne/view?usp=drive_link,2025-05-03T18:10:35.000Z
Proposal Generator,My $27K/m Ai Proposal System in n8n (Free Template),Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=FTaTMj0u0II,https://drive.google.com/file/d/1RFt5KLTFdzjIuhCWJ3SsxVMFNYK2Voi5/view?usp=drive_link,2025-05-02T17:25:04.000Z
Google Map Scraper,Scrape Unlimited Leads WITHOUT Paying for APIs (99% FREE),Nick Saraev,https://www.youtube.com/watch?v=OroDNJl-pyc,https://drive.google.com/file/d/1Kxsl2-sbZGKPqY_X2nluN6aujuTqbcux/view?usp=drive_link,2025-05-01T03:13:25.000Z
Dynamic AI Agent Workflow,"This AI Agent Picks Its Own Brain (10x Cheaper, n8n)",Nate Herk | AI Automation,https://www.youtube.com/watch?v=gwCQF--cARA,https://drive.google.com/file/d/1bI39O_RM8Kq7F0zfWALQdW6DjITh6m3w/view?usp=drive_link,2025-04-30T18:54:47.000Z
LeadGen Outreach,Automate Lead Generation and Email Personalization in Minutes with n8n! (Free Template),Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=ZD2DlnuqCrA,https://drive.google.com/file/d/1ENxEyIhlHwtUCq5zyrCw6lDTFjksFlcz/view?usp=drive_link,2025-04-28T19:48:04.000Z
Product Videography,How I Automated Product Videography with AI (Step by Step n8n Tutorial),Nate Herk | AI Automation,https://www.youtube.com/watch?v=qV7xOEKEBDA,https://drive.google.com/file/d/1jtRDbCceuf1h6J52kU7lZJS8q1LKHusP/view?usp=drive_link,2025-04-28T18:56:18.000Z
Cold Email Automation,"AI System Writes 10,000+ Personalized Cold Emails (Free Template)",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=2Utdn12JSK4,https://drive.google.com/file/d/1SzkKEMV6mdMLltG_ZA7W0lT2lng7pszn/view?usp=drive_link,2025-04-28T17:18:16.000Z
Lovable Web App Builder,This Lovable + n8n Hack Builds Web Apps FOR You In Minutes (No Coding),Jono Catliff,https://www.youtube.com/watch?v=i08K-l8pjfs,https://drive.google.com/file/d/1g1By_B5MBr1R7KDdHvN4NHAaf9Ysmi8g/view?usp=drive_link,2025-04-28T17:05:23.000Z
Marketing AI Team,I Built a Marketing Team with 1 AI Agent and No Code (free n8n template),Nate Herk | AI Automation,https://www.youtube.com/watch?v=ldETapkr8Hg,https://drive.google.com/file/d/1a9FskKLV_AgxUNPgb_CUOLKke97Ox3Sx/view?usp=drive_link https://drive.google.com/file/d/1WEWSJJZmMCg_Ii4U2I0fO-2xJwil_bVL/view?usp=drive_link https://drive.google.com/file/d/171-HNdf_RkGeVTZQppEANBzjRT8f42Ij/view?usp=drive_link https://drive.google.com/file/d/152aOdjNfmL--KpXTFj1m5Bw-mQkLI8N3/view?usp=drive_link https://drive.google.com/file/d/1yT36iHGZKk0mYLVvLnEgFDE87Tcr3Ore/view?usp=drive_link https://drive.google.com/file/d/1dN1KqlBJZsps_ww5sH2oSvl420AtjYY7/view?usp=drive_link https://drive.google.com/file/d/11OdlUx1lpDR57BFgWKRl0Nq795Au7f4b/view?usp=drive_link ,2025-04-26T19:39:40.000Z
Faceless Video AI,This EASY AI Agent System Creates Faceless Videos on Auto Pilot! (Free n8n and Make templates 🍄),Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=0qf0blCB4Mc,https://drive.google.com/file/d/1OcC7yl7UGsEJbK2Sty0GiNxKAX0jlJX4/view?usp=drive_link  https://drive.google.com/file/d/1q6rJa6kudBtTTxeZKfwRT_F2PcTHGONa/view?usp=drive_link ,2025-04-26T16:34:07.000Z
Image Creation and Editing System,This n8n Agent Creates & Edits Images with OpenAI’s New Image API,Mark Kashef,https://www.youtube.com/watch?v=YqEtFVAV7M8,https://drive.google.com/file/d/1-J4bR_Xx6v_eBNqLV9-dEMNf4b9qz1p2/view?usp=drive_link  https://drive.google.com/file/d/1ZPOll5ZvYVvir_84JZSaSDtWwi6nn0zr/view?usp=drive_link  https://drive.google.com/file/d/1-3_hYyaIYBZPDdLkaTVVTM4-H4Yg75ll/view?usp=drive_link  https://drive.google.com/file/d/1P1fq0hB2v2156GqlX7DEevxXkrvDOaff/view?usp=drive_link ,2025-04-25T18:03:51.000Z
Viral Shorts Automation,I Built an AI SYSTEM For Viral Faceless Shorts (n8n),Oleg Melnikov,https://www.youtube.com/watch?v=oMcLgseGER0,https://drive.google.com/file/d/1tKfWJp_sYJkF-evhwWfJ8PZtgKIKBfqV/view?usp=drive_link,2025-04-25T12:48:27.000Z
ChatGPT Automation System,This ChatGPT SECRET Automates Nearly Everything (connect 10K+ apps with n8n),Jono Catliff,https://www.youtube.com/watch?v=YcDLVPYIRSA,https://drive.google.com/file/d/1u7pLhTuXyh_wVFpzNMyj5n3JVEgN9lF8/view?usp=drive_link,2025-04-25T00:27:19.000Z
AI Image Automation,Use OpenAI’s NEW Image Generation API with n8n to create stunning images (Step by Step Tutorial),MagicOps AI,https://www.youtube.com/watch?v=SAUxo5fcLMs,https://drive.google.com/file/d/1t4D_qE2hlc-ao6Fi0U2Zo1L3UvLwWgA8/view?usp=drive_link,2025-04-24T13:00:31.000Z
Customer Support Automation,Build a No-Code AI Customer Support System That ACTUALLY Works,Ben AI,https://www.youtube.com/watch?v=mJwZPK2A7cM,https://drive.google.com/file/d/1VVhH-po9vp3OWewlxNAuCNWnAZQD1Dmi/view?usp=drive_link,2025-04-24T05:32:46.000Z
LinkedIn Visual Automation,"OpenAI's Image API Just Changed the Game (save 10+ hours/week, n8n tutorial)",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ACkHpQQnfxQ,https://drive.google.com/file/d/1dbB79dIiKGkotbZcPNVk4pNPoczN_vnj/view?usp=drive_link,2025-04-23T23:56:03.000Z
Job Search Automation,Automate Your Job Search With LinkedIn & n8n,Jono Catliff,https://www.youtube.com/watch?v=dYNFqM84pSI,https://drive.google.com/file/d/1wwXndI5OydELz4rpFW4V_-Tax-y3mmir/view?usp=drive_link,2025-04-23T13:00:03.000Z
Inbox Automation,Automate Your Inbox With n8n (No Code),Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=UDXDcFwAPQU,https://drive.google.com/file/d/17OYXI08wdcgIWDf-WqJ_v-V9AHRqBMrP/view?usp=drive_link,2025-04-21T17:00:38.000Z
Error Logger Workflow,One n8n Workflow for Unlimited Error Handling (Step-by-Step),Nate Herk | AI Automation,https://www.youtube.com/watch?v=bTF3tACqPRU,https://drive.google.com/file/d/1_EF3ESE9zRSrFNVgMwhMcTm23JwYzWLW/view?usp=drive_link,2025-04-20T16:52:54.000Z
Think Tool Agent,n8n Just Dropped a Game-Changing Tool for AI Agents — Inspired by Anthropic!,Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=MPyQWs8dOpI,https://drive.google.com/file/d/1SNpBbNphUAmjSJRDEdJ-YO_VTkoMGJ2A/view?usp=drive_link,2025-04-19T17:23:22.000Z
Meta Ad Automation,How we Automated a Meta Ad Agency with AI,Ben AI,https://www.youtube.com/watch?v=Rm3ObJXsuOI,https://drive.google.com/file/d/1mkQLWY1YS59RNuFR7Q8d-GKwk34FlwQz/view?usp=drive_link,2025-04-19T06:21:26.000Z
Automated Hiring Workflow,How I Automated the Entire Hiring Process with n8n,Jono Catliff,https://www.youtube.com/watch?v=dBTrOcWkYM0,https://drive.google.com/file/d/1qm916r1TGLBihsGOGJRMx_asQVyiKprd/view?usp=drive_link,2025-04-18T23:40:40.000Z
Email & Complaint Automation,Don’t Build Another AI Agent Until You Understand This: AI Agents vs AI Workflows ~ n8n,Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=nQbd56j_dZ0,https://drive.google.com/file/d/1TDMcJcOcdzCXNFv-_T-CBNzLWli14SDD/view?usp=drive_link,2025-04-18T20:21:05.000Z
MCP Integration,n8n Just Released MCP - Is It The Future of AI & No Code?,Jono Catliff,https://www.youtube.com/watch?v=Nw0v1-24x5w,https://drive.google.com/file/d/1a32FZaRDmUr8f8ah63rpl2z0cn0atbTn/view?usp=drive_link  https://drive.google.com/file/d/1PtaM-y2dzyD2JzhTecr9hNI0Q1QtwXV_/view?usp=drive_link ,2025-04-18T00:39:56.000Z
AI Think Agent System,n8n Just Leveled Up AI Agents (Anthropic's Think Method),Nate Herk | AI Automation,https://www.youtube.com/watch?v=WqyLxyALTt0,https://drive.google.com/file/d/1zCMh9PYMXoWbEntB6Oq00IlMgmZQ6B2Z/view?usp=drive_link,2025-04-17T01:24:11.000Z
